Unnamed: 0,번호,제목,저자,출판사,출판일
,84,Data science for oceanography: from small data to big data,"Qian, Chengcheng; Huang, Baoxiang; Yang, Xueqing; Chen, Ge",John Wiley & Sons Ltd,2022
,85,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,86,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,87,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,88,"Big Data, Efficient Markets, and the End of Daily Fantasy Sports As We Know It?","Urbaczewski, Andrew; Elmore, Ryan",Mary Ann Leibert,2018
,89,MRS-DP: Improving Performance and Resource Utilization of Big Data Applications with Deadlines and Priorities,"Upadhyay, Utsav; Sikka, Geeta",Mary Ann Leibert,2020
,90,Call for Special Issue Papers: Programming Models and Algorithms for Big Data,"Al-Turjman, Fadi; Hamouda, Walaa; Mumtaz, Shahid",Mary Ann Leibert,2020
,91,Research Dilemmas with Behavioral Big Data,unknown,Mary Ann Leibert,2017
,92,Big data actionable intelligence architecture,"Ma, Tian J.",Springer Nature,2020
,93,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,94,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,95,Combining Human Computing and Machine Learning to Make Sense of Big (Aerial) Data for Disaster Response,unknown,Mary Ann Leibert,2016
,96,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,97,Call for Special Issue Papers: Internet of Medical Things in Big Data for Pervasive Medical Care,"Din, Sadia; Aslan, Nauman; Cheung, Simon K.S.; Hasan, Khondker",Mary Ann Leibert,2020
,98,Strength in Numbers: Using Big Data to Simplify Sentiment Classification,unknown,Mary Ann Leibert,2017
,99,SOOM: Sort-Based Optimizer for Big Data Multi-Query,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2020
,100,National Surveys of Population Health: Big Data Analytics for Mobile Health Monitors,unknown,Mary Ann Leibert,2015
,1,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"EL-LATIF, A. A. A.;TAWALBEH, L. A.;MALEH, Y.SALDAMLI, G.",Mary Ann Liebert,2021
,2,Enhanced Neural Network-Based Univariate Time-Series Forecasting Model for Big Data,"NAMASUDRA, S.;DHAMODHARAVADHANI, S.;RATHIPRIYA, R.;CRESPO, R. G.MOPARTHI, N. R.",Mary Ann Liebert,2024
,3,Call for Special Issue Papers: Internet of Medical Things in Big Data for Pervasive Medical Care,"DIN, S.;ASLAN, N.;CHEUNG, S. K. S.HASAN, K.",Mary Ann Liebert,2021
,4,Spatial patterns of urban green space and its actual utilization status in China based on big data analysis,"Huang, Yiyi; Lin, Tao; Zhang, Guoqin; Zhu, Yongguan; Zeng, Zhiwei; Ye, Hong",John Wiley & Sons Ltd,2021
,5,Special Issue: Big Scientific Data and Machine Learning in Science and Engineering,"POURKAMALI-ANARAKI, F.",Mary Ann Liebert,2024
,6,Internet of Things-Based Optimized Routing and Big Data Gathering System for Landslide Detection,"Menon, Varun G.; Verma, Sandeep; Kaur, Satnam; Sehdev, Paramjit S.",Mary Ann Leibert,2021
,7,DGSLSTM: Deep Gated Stacked Long Short-Term Memory Neural Network for Traffic Flow Forecasting of Transportation Networks on Big Data Environment,"GURUSAMY, R.SEENIVASAN, S. R.",Mary Ann Liebert,2024
,8,A Weighted GraphSAGE-Based Context-Aware Approach for Big Data Access Control,"SHAN, D.;DU, X.;WANG, W.;LIU, A.WANG, N.",Mary Ann Liebert,2024
,9,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,10,A Ring Learning with Errors-Based Ciphertext-Policy Attribute-Based Proxy Re-Encryption Scheme for Secure Big Data Sharing in Cloud Environment,"LI, J.;PENG, J.QIAO, Z.",Mary Ann Liebert,2024
,11,Attribute-Based Adaptive Homomorphic Encryption for Big Data Security,"THENMOZHI, R.;SHRIDEVI, S.;MOHANTY, S. N.;GARCíA-DíAZ, V.;GUPTA, D.;TIWARI, P.SHORFUZZAMAN, M.",Mary Ann Liebert,2024
,12,"Kriging, Polynomial Chaos Expansion, and Low-Rank Approximations in Material Science and Big Data Analytics","MAHDAVI, G.HARIRI-ARDEBILI, M. A.",Mary Ann Liebert,2024
,13,Earth observation and geospatial big data management and engagement of stakeholders in Hungary to support the SDGs,"Mihály, Szabolcs; Remetey-Fülöpp, Gábor; Kristóf, Dániel; Czinkóczky, Anna; Palya, Tamás; Pásztor, László; Rudan, Pál; Szabó, György; Zentai, László",John Wiley & Sons Ltd,2021
,14,A GIS-based analytical framework for evaluating the effect of COVID-19 on the restaurant industry with big data,"Wang, Siqin",John Wiley & Sons Ltd,2023
,15,Computational Efficient Approximations of the Concordance Probability in a Big Data Setting,"OIRBEEK, R. V.;PONNET, J.;BAESENS, B.VERDONCK, T.",Mary Ann Liebert,2024
,16,Can Big Data Machines Analyze Stock Market Sentiment?,unknown,Mary Ann Leibert,2014
,17,The Uses of Big Data in Cities,unknown,Mary Ann Leibert,2014
,18,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"El-Latif, Ahmed A. Abd; Tawalbeh, Lo'ai; Maleh, Yassine; Saldamli, Gokay",Mary Ann Leibert,2021
,19,A new big data approach based on geoecological information-modeling system,"Varotsos, Costas A.; Krapivin, Vladimir F.",John Wiley & Sons Ltd,2017
,20,New discrimination diagrams for basalts based on big data research,"Zhang, Qi; Sun, Weidong; Zhao, Yong; Yuan, Fanglin; Jiao, Shoutao; Chen, Wanfeng",John Wiley & Sons Ltd,2019
,21,Big Data for the Social Good: The Drought Early-Warning Experience Report,"Tamburri, Damian A.",unknown,2022
,22,Big Data Applications in Guangzhou Restaurants Analysis,"Chang, Victor; Ji, Ziyang; Xu, Qianwen Ariel",Mary Ann Leibert,2021
,23,Unlocking the Power of Big Data at the National Institutes of Health,"COAKLEY, M. F.;LEERKES, M. R.;BARNETT, J.;GABRIELIAN, A. E.;NOBLE, K.;WEBER, M. N.HUYEN, Y.",Mary Ann Liebert,2013
,24,A Big Data Guide to Understanding Climate Change: The Case for Theory-Guided Data Science,unknown,Mary Ann Leibert,2014
,25,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,26,The challenges of a Big Data Earth,"Boulton, Geoffrey",John Wiley & Sons Ltd,2018
,27,Big Data Literature Search,unknown,Mary Ann Leibert,2014
,28,Recent advance in earth observation big data for hydrology,"Chen, Lajiao; Wang, Lizhe",John Wiley & Sons Ltd,2018
,29,Quantifying Insurance Agency Channel Dynamics Using Premium Sales Big Data and External Factors,"KAYA, E.;ALPAN, E.;BALCISOY, S.BOZKAYA, B.",Mary Ann Liebert,2021
,30,Big Data and Predictive Analytics in Health Care,unknown,Mary Ann Leibert,2014
,31,Optimizing Sentinel-2 image selection in a Big Data context,"Kempeneers, P.; Soille, P.",John Wiley & Sons Ltd,2017
,32,"The Coming of Age for Big Data in Systems Radiobiology, an Engineering Perspective","KARAPIPERIS, C.;CHASAPI, A.;ANGELIS, L.;SCOURAS, Z. G.;MASTROBERARDINO, P. G.;TAPIO, S.;ATKINSON, M. J.OUZOUNIS, C. A.",Mary Ann Liebert,2021
,33,Curating Big Data Made Simple: Perspectives from Scientific Communities,unknown,Mary Ann Leibert,2014
,34,Call for Special Issue Papers: Internet of Medical Things in Big Data for Pervasive Medical Care,"DIN, S.;ASLAN, N.;CHEUNG, S. K. S.HASAN, K.",Mary Ann Liebert,2021
,35,Big data analytics capability for digital transformation in the insurance sector,"Moturi, Christopher A.; Okemwa, Vincent O.; Orwa, Daniel O.",Inderscience,2021
,36,Electronic Health Records Data and Metadata: Challenges for Big Data in the United States,"SWEET, L. E.MOULAISON, H. L.",Mary Ann Liebert,2013
,37,Big Data 2.0: Cataclysm or Catalyst?,unknown,Mary Ann Leibert,2014
,38,Why Big Data = Big Deal,unknown,Mary Ann Leibert,2014
,39,Big Data and the Rise of Machines in Financial Markets,unknown,Mary Ann Leibert,2014
,40,TV Audience Measurement with Big Data,unknown,Mary Ann Leibert,2014
,41,"Comparative study of big data of global adakites and mineralization-related granite in the Geza arc metallogenic belt, northwest Yunnan, Southwest China","Xuelong, Liu; Wenchang, Li; Qi, Zhang; Na, Zhang; Changzhen, Zhang; Ying, Luo; Shuaishuai, Wang; Fucheng, Yang; Jianhang, Chen; Zhenhuan, Li",John Wiley & Sons Ltd,2018
,42,Moth-Flame Optimization-Bat Optimization: Map-Reduce Framework for Big Data Clustering Using the Moth-Flame Bat Optimization and Sparse Fuzzy C-Means,"Ravuri, Vasavi; Vasundra, S.",Mary Ann Leibert,2020
,43,Atmospheric and ecosystem big data providing key contributions in reaching United Nations' Sustainable Development Goals,"Kulmala, Markku; Lintunen, Anna; Ylivinkka, Ilona; Mukkala, Janne; Rantanen, Rosa; Kujansuu, Joni; Petäjä, Tuukka; Lappalainen, Hanna K.",John Wiley & Sons Ltd,2021
,44,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2020
,45,An Exercise in Exploring Big Data for Producing Reliable Statistical Information,unknown,Mary Ann Leibert,2016
,46,Overcoming Resistance to Big Data and Operational Changes Through Interactive Data Visualization,"Phillips-Wren, Gloria; McKniff, Sueanne",Mary Ann Leibert,2020
,47,Correction to: Big Data 2016;4:60–66,unknown,Mary Ann Leibert,2016
,48,Exploring relationships between medical college rankings and performance with big data,"Rao, A.",Springer Nature,2019
,49,Big Data in Forecasting Research: A Literature Review,"Tang, Ling","Elsevier Science B.V., Amsterdam",2022
,50,Evaluating associative classification algorithms for Big Data,"Padillo, Francisco",Springer Nature,2019
,51,Remotely sensed big data for the oceans and polar regions,"Li, Xiao-Ming",John Wiley & Sons Ltd,2022
,52,Big Multimodal Data Analysis: Models and Performance Analysis,"Jeon, Gwanggil",Mary Ann Leibert,2022
,53,Toward Business Process Innovation in the Big Data Era: A Mediating Role of Big Data Knowledge Management,"Saide, Saide; Sheng, Margaret L.",Mary Ann Leibert,2020
,54,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"El-Latif, Ahmed A. Abd",Mary Ann Leibert,2021
,55,Big Data Assurance: An Approach Based on Service-Level Agreements,"Ardagna, Claudio A.",Mary Ann Leibert,2023
,56,Prediction and Big Data Impact Analysis of Telecom Churn by Backpropagation Neural Network Algorithm from the Perspective of Business Model,"Xu, Jiabing",Mary Ann Leibert,2023
,57,Fine Clustering Analysis of Internet Financial Credit Investigation Based on Big Data,"Sun, Jingqi","Elsevier Science B.V., Amsterdam",2022
,58,Big Multimodal Data Analysis: Applications,"Jeon, Gwanggil",Mary Ann Leibert,2022
,59,"On the Unstructured Big Data Analytical Methods in Firms: Conceptual Model, Measurement, and Perception","Tarka, Piotr; Jędrych, Elżbieta",Mary Ann Leibert,2020
,60,Call for Special Issue Papers: Programming Models and Algorithms for Big Data,"Al-Turjman, Fadi; Hamouda, Walaa; Mumtaz, Shahid",Mary Ann Leibert,2020
,61,Vehicle Intelligent Classification Based on Big Multimodal Data Analysis and Sparrow Search Optimization,"Shao, Caixing",Mary Ann Leibert,2022
,62,Big Data in Business: A Bibliometric Analysis of Relevant Literature,"Nobanee, Haitham",Mary Ann Leibert,2020
,63,Study on the use of different quality measures within a multi-objective evolutionary algorithm approach for emerging pattern mining in big data environments,"García-Vico, Ángel",Springer Nature,2019
,64,Big Data Analytics and Visualization in Traffic Monitoring,"Bachechi, Chiara","Elsevier Science B.V., Amsterdam",2022
,65,"Big Data, 3D Printing Technology, and Industry of the Future","Alabi, Micheal Omotayo",IGI Publising,2017
,66,RST-DE: Rough Sets-Based New Differential Evolution Algorithm for Scalable Big Data Feature Selection in Distributed Computing Platforms,"Thakur, Santosh; Dharavath, Ramesh; Shankar, Achyut; Singh, Prabhishek; Diwakar, Manoj; Khosravi, Mohammad R.",Mary Ann Leibert,2022
,67,Big Data architecture for intelligent maintenance: a focus on query processing and machine learning algorithms,"Lehmann, Claude",Springer Nature,2020
,68,Agricultural Disaster Risk Management and Capability Assessment Using Big Data Analytics,"Wang, Caili; Gao, Yuwen; Aziz, Asad; Ogunmola, Gabriel A.",Mary Ann Leibert,2022
,69,Call for Special Issue Papers: Soft Computing Models for Big Data and Internet of Things,"Chilamkurti, Naveen; Paul, Anand; Kumar, Akshi",Mary Ann Leibert,2020
,70,Call for Papers: Big Data,"Obradovic, Zoran",Mary Ann Leibert,2022
,71,Artificial Bee Colony Reinforced Extended Kalman Filter Localization Algorithm in Internet of Things with Big Data Blending Technique for Finding the Accurate Position of Reference Nodes,"Raghav, R. Srinivasa; Thirugnanasambandam, Kalaipriyan; Varadarajan, Vijayakumar; Vairavasundaram, Subramaniyaswamy; Ravi, Logesh",Mary Ann Leibert,2022
,72,Toward a General Framework for Multimodal Big Data Analysis,"Bellandi, Valerio",Mary Ann Leibert,2022
,73,Towards quantifying psychiatric diagnosis using machine learning algorithms and big fMRI data,"Saeed, Fahad",Springer Nature,2018
,74,A Survey of Biological Data in a Big Data Perspective,"Dall'Alba, Gabriel; Casa, Pedro Lenz; Abreu, Fernanda Pessi de; Notari, Daniel Luis; de Avila e Silva, Scheila",Mary Ann Leibert,2022
,75,Online Analytical Processing for Business Intelligence in Big Data,"Patel, Jigna Ashish; Sharma, Priyanka",Mary Ann Leibert,2020
,76,Corrigendum to High Frequency Analysis of Macro News Releases on the Foreign Exchange Market: A Survey of Literature [Big Data Res. 2 (1) (2015) 33–48],"Li, Wei","Elsevier Science B.V., Amsterdam",2022
,77,Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management,"Balamurugan, S.; Muthu, Bala Anand; Peng, Sheng-Lung; Wahab, Mohd Helmy Abd",Mary Ann Leibert,2020
,78,Big data in support of the sustainable development goals (continued): a celebration of the establishment of the International Research Center of Big Data for Sustainable Development Goals (CBAS),"Guo, Huadong; Hackmann, Heide; Gong, Ke",John Wiley & Sons Ltd,2021
,79,Unsupervised Tensor Mining for Big Data Practitioners,unknown,Mary Ann Leibert,2016
,80,Big Data As an Enabler of Primary Education,unknown,Mary Ann Leibert,2016
,81,Towards Efficient Energy Utilization Using Big Data Analytics in Smart Cities for Electricity Theft Detection,"Arif, Arooj","Elsevier Science B.V., Amsterdam",2022
,82,Big Data on Robotics,unknown,Mary Ann Leibert,2016
,83,A Novel Big Data Approach for Record and Represent Compliance in the Covid-19 Era,"Giacalone, M.","Elsevier Science B.V., Amsterdam",2022
,84,Data science for oceanography: from small data to big data,"Qian, Chengcheng; Huang, Baoxiang; Yang, Xueqing; Chen, Ge",John Wiley & Sons Ltd,2022
,85,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,86,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,87,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,88,"Big Data, Efficient Markets, and the End of Daily Fantasy Sports As We Know It?","Urbaczewski, Andrew; Elmore, Ryan",Mary Ann Leibert,2018
,89,MRS-DP: Improving Performance and Resource Utilization of Big Data Applications with Deadlines and Priorities,"Upadhyay, Utsav; Sikka, Geeta",Mary Ann Leibert,2020
,90,Call for Special Issue Papers: Programming Models and Algorithms for Big Data,"Al-Turjman, Fadi; Hamouda, Walaa; Mumtaz, Shahid",Mary Ann Leibert,2020
,91,Research Dilemmas with Behavioral Big Data,unknown,Mary Ann Leibert,2017
,92,Big data actionable intelligence architecture,"Ma, Tian J.",Springer Nature,2020
,93,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,94,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,95,Combining Human Computing and Machine Learning to Make Sense of Big (Aerial) Data for Disaster Response,unknown,Mary Ann Leibert,2016
,96,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,97,Call for Special Issue Papers: Internet of Medical Things in Big Data for Pervasive Medical Care,"Din, Sadia; Aslan, Nauman; Cheung, Simon K.S.; Hasan, Khondker",Mary Ann Leibert,2020
,98,Strength in Numbers: Using Big Data to Simplify Sentiment Classification,unknown,Mary Ann Leibert,2017
,99,SOOM: Sort-Based Optimizer for Big Data Multi-Query,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2020
,100,National Surveys of Population Health: Big Data Analytics for Mobile Health Monitors,unknown,Mary Ann Leibert,2015
,1,Big data ensemble clinical prediction for healthcare data by using deep learning model,"Rallapalli, Sreekanth; Gondkar, R.R.",Inderscience,2018
,2,MonkeyKing: Adaptive Parameter Tuning on Big Data Platforms with Deep Reinforcement Learning,"Du, Haizhou; Han, Ping; Xiang, Qiao; Huang, Sheng",Mary Ann Leibert,2020
,3,Big Data in Healthcare: Opportunities and Challenges,unknown,Mary Ann Leibert,2015
,4,A Message from the Editor-in-Chief of Big Data,unknown,Mary Ann Leibert,2017
,5,Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management,"Balamurugan, S.; Muthu, Bala Anand; Peng, Sheng-Lung; Wahab, Mohd Helmy Abd",Mary Ann Leibert,2020
,6,A Big Data Application for Energy Consumption Management of Commercial Buildings,"Al Muhaysh, Sarah Abdullah;Al Salem, Thanaa Saad;Al Jaafari, Fatimah Abdullah;Hussain, Al Anoud Saleem Al ShaikhKhwaja, Amir Ali",IGI Publishing,2021
,7,Improved big data stock index prediction using deep learning with CNN and GRU,"Eapen, Jithin; Verma, Abhishek; Bein, Doina",Inderscience,2021
,8,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities","Seyedan, Mahya",Springer Nature,2020
,9,Scalable big data modelling,"Patel, Jayesh",Inderscience,2021
,10,Clustering Big Spatiotemporal-Interval Data,"Shao, W.; Salim, F. D.; Song, A.; Bouguettaya, A.",unknown,2016
,11,Sorting big data by revealed preference with application to college ranking,"Hu, Xingwei",Springer Nature,2020
,12,A big data analytics framework for border crossing transportation,"Wang, Haibo; Huo, Da; Xu, Yaquan",Inderscience,2017
,13,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,14,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,15,Analyzing Big Smart Metering Data Towards Differentiated User Services: A Sublinear Approach,"Pan, E.; Wang, D.; Han, Z.",unknown,2016
,16,Agile Big Data Analytics for Web-Based Systems: An Architecture-Centric Approach,"Chen, H.; Kazman, R.; Haziyev, S.",unknown,2016
,17,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2014
,18,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2015
,19,Leveraging Big Data analytics - case of Kenyan telecoms,"Moturi, Christopher A.; Karuga, Esther W.; Orwa, Daniel O.",Inderscience,2021
,20,Impact of rail transit station proximity to commercial property prices: utilizing big data in urban real estate,"Berawi, Mohammed Ali",Springer Nature,2020
,21,Understanding the development trends of big data technologies: an analysis of patents and the cited scholarly works,"Saheb, Tahereh",Springer Nature,2020
,22,Preventive healthcare policies in the US: solutions for disease management using Big Data Analytics,"Batarseh, Feras A.",Springer Nature,2020
,23,Application of big data analytics and organizational performance: the mediating role of knowledge management practices,"Shabbir, Muhammad Qasim",Springer Nature,2020
,24,A Cyberinfrastructure for Big Data Transportation Engineering,"Islam, Md Johirul",Springer Nature,2019
,25,CoPart: a context-based partitioning technique for big data,"Migliorini, Sara",Springer Nature,2021
,26,"Visualizing and Evaluating Interdependent Regional Traffic Congestion and System Resiliency, a Case Study Using Big Data from Probe Vehicles","Brennan, Thomas M.",Springer Nature,2019
,27,Leveraging machine learning and big data for optimizing medication prescriptions in complex diseases: a case study in diabetes management,"Hosseini, Mahsa Madani",Springer Nature,2020
,28,Investigating class rarity in big data,"Hasanin, Tawfiq",Springer Nature,2020
,29,Guest Editorial: Big Scholar Data Discovery and Collaboration,"Lin, Y.; Tong, H.; Tang, J.; Candan, K. S.",unknown,2017
,30,An overview of recent distributed algorithms for learning fuzzy models in Big Data classification,"Ducange, Pietro",Springer Nature,2020
,31,Current landscape and influence of big data on finance,"Hasan, Md. Morshadul",Springer Nature,2020
,32,Guest Editorial: Big Scholar Data Discovery and Collaboration,"Lin, Y.; Tong, H.; Tang, J.; Candan, K. S.",unknown,2016
,33,A Perspective on the Challenges and Opportunities for Privacy-Aware Big Transportation Data,"Badu-Marfo, Godwin",Springer Nature,2019
,34,Extending reference architecture of big data systems towards machine learning in edge computing environments,"Pääkkönen, P.",Springer Nature,2020
,35,Guest Editorial: Big Data Analytics and the Web,"Sheng, M.; Vasilakos, A. V.; Yu, Q.; You, L.",unknown,2016
,36,Guest Editorial: Big Data Analytics and the Web,"Sheng, Q. Z.; Vasilakos, A. V.; Yu, Q.; Yao, L.",unknown,2015
,37,Anomaly detection optimization using big data and deep learning to reduce false-positive,"Al Jallad, Khloud",Springer Nature,2020
,38,Predictive analytics using big data for increased customer loyalty: Syriatel Telecom Company case study,"Wassouf, Wissam Nazeer",Springer Nature,2020
,39,A comprehensive survey of anomaly detection techniques for high dimensional big data,"Thudumu, Srikanth",Springer Nature,2020
,40,Mitigating Bias in Big Data for Transportation,"Griffin, Greg P.",Springer Nature,2020
,41,Cooperative co-evolution for feature selection in Big Data with random feature grouping,"Rashid, A. N. M. Bazlur",Springer Nature,2020
,42,Speed Up Big Data Analytics by Unveiling the Storage Distribution of Sub-Datasets,"Wang, J.; Zhang, X.; Yin, J.; Wang, R.; Wu, H.; Han, D.",unknown,2018
,43,A survey and analysis of intrusion detection models based on CSE-CIC-IDS2018 Big Data,"Leevy, Joffrey L.",Springer Nature,2020
,44,Sleep stage classification using extreme learning machine and particle swarm optimization for healthcare big data,"Surantha, Nico",Springer Nature,2021
,45,Guest Editorial: Big Data Infrastructure I,"Chen, J.; Wang, H.",unknown,2018
,46,Predictors of outpatients' no-show: big data analytics using apache spark,"Daghistani, Tahani",Springer Nature,2020
,47,Analyzing Bangkok city taxi ride: reforming fares for profit sustainability using big data driven model,"Phiboonbanakit, Thananut",Springer Nature,2021
,48,Correction to: Cooperative co‑evolution for feature selection in Big Data with random feature grouping,"Rashid, A. N. M. Bazlur",Springer Nature,2020
,49,HDM: A Composable Framework for Big Data Processing,"Wu, D.; Zhu, L.; Lu, Q.; Sakr, S.",unknown,2018
,50,Distributed Feature Selection for Efficient Economic Big Data Analysis,"Zhao, L.; Chen, Z.; Hu, Y.; Min, G.; Jiang, Z.",unknown,2018
,51,Perceptions of independent financial advisors on the usefulness of big data in the context of decision making in the UK,"Grishikashvili, Ketty; Bechter, Clemens",Inderscience,2019
,52,Strategic Perspective on Challenges and Opportunities in Big Data Management,"Baporikar, NeetaMusti, K. S. Sastry",IGI Publishing,2022
,53,Approximate Clustering Ensemble Method for Big Data,"Mahmud, Mohammad Sultan",unknown,2023
,54,Structural Balance Theory-Based E-Commerce Recommendation over Big Rating Data,"Qi, L.; Xu, X.; Zhang, X.; Dou, W.; Hu, C.; Zhou, Y.; Yu, J.",unknown,2018
,55,Towards Max-Min Fair Resource Allocation for Stream Big Data Analytics in Shared Clouds,"Jiang, Y.; Huang, Z.; Tsang, D. H.",unknown,2018
,56,Fuzzy Based Scalable Clustering Algorithms for Handling Big Data Using Apache Spark,"Bharill, N.; Tiwari, A.; Malviya, A.",unknown,2016
,57,Thermal-Aware and DVFS-Enabled Big Data Task Scheduling for Data Centers,"Liu, H.; Liu, B.; Yang, L. T.; Lin, M.; Deng, Y.; Bilal, K.; Khan, S. U.",unknown,2018
,58,Smart Monitoring Cameras Driven Intelligent Processing to Big Surveillance Video Data,"Shao, Z.; Cai, J.; Wang, Z.",unknown,2018
,59,Hybridisation of classifiers for anomaly detection in big data,"Alguliyev, Rasim M.; Aliguliyev, Ramiz M.; Abdullayeva, Fargana Jabbar",Inderscience,2019
,60,Kvasir: Scalable Provision of Semantically Relevant Web Content on Big Data Framework,"Wang, L.; Tasoulis, S.; Roos, T.; Kangasharju, J.",unknown,2016
,61,A Multi-Branch Decoder Network Approach to Adaptive Temporal Data Selection and Reconstruction for Big Scientific Simulation Data,"Zhang, Yang",unknown,2022
,62,Parallel computing for preserving privacy using k-anonymisation algorithms from big data,"Yaji, Sharath; Neelima, B.",Inderscience,2018
,63,A survey on big data processing infrastructure: evolving role of FPGA,"Nunna, Krishna Chaitanya; Mehdipour, Farhad; Trouvé, Antoine; Murakami, Kazuaki J.",Inderscience,2015
,64,A Hierarchical Distributed Processing Framework for Big Image Data,"Dong, L.; Lin, Z.; Liang, Y.; He, L.; Zhang, N.; Chen, Q.; Cao, X.; Izquierdo, E.",unknown,2016
,65,Towards a real-time big data analytics platform for health applications,"Chrimes, Dillon; Kuo, Mu-Hsing; Moa, Belaid; Hu, Wei",Inderscience,2017
,66,Deep Learning-Based Service Discovery for Business Process Re-Engineering in the Era of Big Data,Bo Jiang; Junwu Chen; Ye Wang; Liping Zhao; Pengxiang Liu,IGI Publishing,2020
,67,Classifying UNSW-NB15 Network Traffic in the Big Data Framework Using Random Forest in Spark,"Bagui, Sikha;Simonds, Jason;Plenkers, Russell;Bennett, Timothy A.Bagui, Subhash",IGI Publishing,2021
,68,PaloPro: a platform for knowledge extraction from big social data and the news,"Makrynioti, Nantia; Grivas, Andreas; Sardianos, Christos; Tsirakis, Nikos; Varlamis, Iraklis; Vassalos, Vasilis; Poulopoulos, Vassilis; Tsantilas, Panagiotis",Inderscience,2017
,69,A five-layer architecture for big data processing and analytics,"Zhu, Julie Yixuan; Tang, Bo; Li, Victor O.K.",Inderscience,2019
,70,Optimized Deep Learning for EEG Big Data and Seizure Prediction BCI via Internet of Things,"Hosseini, M.; Pompili, D.; Elisevich, K.; Soltanian-Zadeh, H.",unknown,2017
,71,A platform for big data analytics on distributed scaleout storage system,"Aye, Kyar Nyo; Thein, Thandar",Inderscience,2015
,72,A reference architecture for big data solutions - introducing a model to perform predictive analytics using big data technology,"Geerdink, Bas",Inderscience,2015
,73,Secure multi-owner-based cloud computing scheme for big data,"Al-Shablan, Maram; Tian, Yuan; Al-Rodhaan, Mznah",Inderscience,2016
,74,AlgorithmSeer: A System for Extracting and Searching for Algorithms in Scholarly Big Data,"Tuarob, S.; Bhatia, S.; Mitra, P.; Giles, C. L.",unknown,2016
,75,A platform for big data analytics on distributed scale-out storage system,"Aye, Kyar Nyo; Thein, Thandar",Inderscience,2015
,76,Deduplication on Encrypted Big Data in Cloud,"Yan, Z.; Ding, W.; Yu, X.; Zhu, H.; Deng, R. H.",unknown,2016
,77,Petuum: A New Platform for Distributed Machine Learning on Big Data,"Xing, E. P.; Ho, Q.; Dai, W.; Kim, J. K.; Wei, J.; Lee, S.; Zheng, X.; Xie, P.; Kumar, A.; Yu, Y.",unknown,2015
